qid,band,lawyer_rank,lawyer_cosine,lang_tag,labelled_act,labelled_provision,question,lawyer_answer
prot_0044_01,suspect,,0.4936,english,"1The Transfer of Property Act, 1882",Saving of donations mortis causa and Muhammadan law,"আমার শ্বশুরের তিন মেয়ে। কোনো ছেলে নেই। তিনি পালক হিসেবে একটি ছেলে নেন। এখন ছেলেটি একটি চাকরি করেন, স্ত্রী-সন্তান নিয়ে ","আপনার শ্বশুর তাঁর জীবিতাবস্থায় যে জমি তাঁর পালক সন্তানকে দান করেছেন, তা হস্তান্তরের পর ফেরত পাওয়া সম্ভব নয়। দান করা স"
prot_0054_02,suspect,,0.4959,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমরা পাঁচ বোন এক ভাই। আমার ভাই ১৯৯৯ সালে ক্যানসারে আক্রান্ত হয়ে মারা যান। তিনি দুই নাবালক ছেলে ও এক বিবাহিত মেয়ে রেখে যা,আপনার বাবা তাঁর জীবদ্দশায় তাঁর সম্পত্তি যাকে ইচ্ছে লিখে দিতে পারেন। এ ছাড়া নাবালককে সম্পত্তি লিখে দিতে আইনত কোনো বাধা নে
prot_0048_03,suspect,,0.4962,english,"The Guardians and Wards Act, 1890",Matters to be considered by the Court in appointing guardian,"১০ বছর আগে আমার বিয়ে হয়, সাত বছরের একটি ছেলে আছে। বিয়ের পর থেকেই স্বামীর সঙ্গে আমার বনিবনা হচ্ছে না। তার পরও সংসার করছিল","আপনার ছেলের বয়স যেহেতু সাত বছর পার হয়েছে, সেহেতু ছেলেটির আইনগত অভিভাবক হবেন আপনার স্বামী। তবে মুসলিম আইনে ক্ষতিপূরণ দেওয়"
prot_0047_06,suspect,,0.4978,english,"The Muslim Family Laws Ordinance, 1961",Dower,"আমি একজন সরকারি চাকরিজীবী। তিন বছর আগে ভালোবেসে একটি মেয়েকে বিয়ে করি। আমার একটি ছেলেসন্তান আছে, তার বয়স ১৮ মাস। সন্তান হ",আপনি অথবা আপনার স্ত্রী যে-ই তালাক প্রদান করুক না কেন দেনমোহরের অর্থ আপনার স্ত্রীর প্রাপ্য। সুতরাং কাবিনের পাওনা আপনার স্
prot_0085_02,suspect,,0.4994,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"আমার ছোট ভাই স্নাতক দ্বিতীয় বর্ষে পড়ত। প্রায় দুই বছর হলো সে সিঙ্গাপুরে আছে। সিঙ্গাপুর যাওয়ার দুই মাস পর আমরা জানতে পারি,","আপনার ভাই পরিবারের কথা চিন্তা না করে স্বার্থপরের মতো আচরণ করছেন। প্রাপ্তবয়স্ক হিসেবে আপনার ভাই যদি মেয়েটিকে বিয়ে করেন, ত"
prot_0026_04,middle,75,0.5039,english,"The Muslim Family Laws Ordinance, 1961",Talaq,১৫-১৬ বছর ধরে আমার ভাই মানসিক রোগে আক্রান্ত। সে ছয় বছর ধরে পাবনা মানসিক হাসপাতালে চিকিৎসা নিচ্ছে। সে বিবাহিত এবং তার এক,আপনার ভাইয়ের বিয়ে এখনো বৈধ আছে। নিয়ম অনুযায়ী তালাক প্রদান না করা পর্যন্ত তাঁদে বিবাহিত ধরা হবে
prot_0001_03,suspect,,0.5054,english,"1The Transfer of Property Act, 1882",“Sale” defined,আমি হিন্দু ধর্মাবলম্বী। আমার মামা একজন এবং মায়েরা দুই বোন। আমার প্রশ্ন হলো— ১. আমার দিদিমা (মায়ের মা) ২০১৩ সালে আমার ম,হিন্দু ধর্মে নারীরা সম্পত্তির উত্তরাধিকারী হবেন না। তবে জীবদ্দশায় তাঁরা সম্পত্তি ভোগ করতে পারবেন। জীবদ্দশায় মেয়েরা প্রয়
prot_0048_01,middle,22,0.5078,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমি বিদেশে চাকরি করছি। দেশের বাইরে থাকাকালীন আমার মা-বাবা বাংলাদেশে আমার জন্য মেয়ে দেখেন এবং মোবাইল ফোনের মাধ্যমে আমাদের,"মোবাইল ফোনে আপনাদের বিয়েটি একটি বৈধ বিবাহ। তবে যেহেতু আপনাদের বৈবাহিক সম্পর্ক সম্পূর্ণ হয়নি, সেহেতু মোহরানার অর্ধেক অংশ "
prot_0055_02,suspect,,0.5081,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বাবার দুই স্ত্রী। আমি ছোট মায়ের সন্তান। আমার আরও দুটি ভাই আছে আমার মায়ের গর্ভের। এ ছাড়া বড় মায়ের ঘরের দুই ছেলে রয়েছ,আপনার মৃত্যুর পর আপনার সম্পত্তির ওয়ারিশ হবেন আপনার মা-বাবা ও দুই ভাই। আপনার বৈমাত্রেয় ভাইয়েরা আপনার সম্পত্তির অংশ পাবেন 
prot_0046_01,middle,59,0.51,bengali,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,"প্রায় চার বছর সম্পর্কের পর আমি বিয়ে করি। বিয়ের শর্ত ছিল, যেহেতু আমার দুই ভাই বিদেশে অবস্থান করছেন, তাই আপাতত শুধু কাবিন ",আপনার বিবাহিত স্ত্রীর সমস্যার আইনগত কোনো সমাধান নেই। ব্যক্তিগত কারণে আপনি বিয়ের সামাজিক আনুষ্ঠানিকতার সময় দীর্ঘায়িত করেছ
prot_0035_02,suspect,,0.5133,mixed,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,"আমার বাবার দুই স্ত্রী। প্রথম পরিবারে তিন ছেলে। দ্বিতীয় পরিবারে তিন ছেলে, এক মেয়ে। আমি দ্বিতীয় পরিবারের ছেলে। আমার বাব",আপনার বাবার সদিচ্ছা ছাড়া আপনাদের পক্ষে তাঁর ফান্ড থেকে টাকা পাওয়া সম্ভব নয়। তবে ভরণপোষণের জন্য আপনারা আদালতে মামলা কর
prot_0068_06,suspect,,0.5136,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার মায়েরা চার বোন। কোনো ভাই নেই। ২০০৪ সালে আমার ছোট খালার বিয়ের পর থেকে খালু ঘরজামাই হিসেবে থাকেন। নানা জমি বণ্টন করেন,"চিঠির তথ্য অনুযায়ী সম্পত্তির মালিক হচ্ছেন আপনার নানা। তিনি জীবদ্দশায় যেভাবে ইচ্ছা পোষণ করেন, সেভাবে সম্পত্তি বিলি-বণ্টন "
prot_0066_07,suspect,,0.5167,english,"1The Evidence Act, 1872",Burden of proving that person is alive who has not been hear,আমার দাদা মারা যাওয়ার সময় তাঁর তিন ছেলে ও তিন মেয়ে রেখে যান। আমার বড় চাচা মানসিক ভারসাম্যহীন এবং অবিবাহিত অবস্থায় মারা য,"আপনার বড় চাচা মারা যাওয়ার সময় যদি আপনার বাবা বেঁচে থাকেন, সে ক্ষেত্রে আপনার বাবা অন্য ভাইবোনের সঙ্গে আপনার বড় চাচার সম্প"
prot_0065_06,suspect,,0.5175,english,"The Muslim Family Laws Ordinance, 1961",Dower,আমার বয়স ২৬ বছর। বিয়ে হয়েছে ২০০৯ সালে। বিয়ের ১০-১৫ দিন পরই আমার স্বামী বিদেশে চলে যান। বিয়েতে তাঁকে দেড় লাখ টাকা যৌতুক হ,"দেনমোহরের বাকি এক লাখ টাকা আপনার প্রাপ্য। এ ছাড়া আপনার স্বামীর সম্পত্তিতেও আপনি অংশীদার। যেহেতু আপনার কোনো সন্তান নেই, স"
prot_0045_01,suspect,,0.5189,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বাবার তিন স্ত্রী। প্রথম স্ত্রীর ঘরে তিন মেয়ে। দ্বিতীয় স্ত্রীর (আমার মা) ঘরে দুই ছেলে ও এক মেয়ে। তৃতীয় স্ত্রীর ঘরে ক,আপনারা আপনাদের সৎমায়ের সম্পত্তির অংশীদার হবেন না। যেহেতু আপনার পিতার তৃতীয় স্ত্রী পিতার আগে মৃত্যুবরণ করেছেন সেহেতু বাকি
prot_0088_04,suspect,,0.5201,english,"The Guardians and Wards Act, 1890",Limitation of powers of guardian of property appointed or de,আমার বয়স ২৫ বছর। আমার আব্বা দুই বিয়ে করেন। প্রথম স্ত্রী মারা যাওয়ার পর দ্বিতীয় বিয়ে করেন। আমি দ্বিতীয় পক্ষের ছেলে। আমরা ,"পত্রে আপনি ৭২ শতাংশ জমি তিন বোনকে দেওয়ার কথা উল্লেখ করেছেন। কিন্তু ওই জমি দান, বিক্রি অথবা অন্য কীভাবে হস্তান্তর করেছিলে"
prot_0033_01,suspect,,0.521,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,এক ব্যক্তি তিন মেয়ে ও এক ছেলে রেখে মারা যান। তাঁর স্ত্রী আবার বিয়ে করেন। এরই মধ্যে তাঁর আগের পক্ষের ছেলেটি মারা যায় এবং ,মৃত ছেলেটির অংশ তার মা ও বোনদের প্রাপ্য। মায়ের দ্বিতীয় ঘরের ছেলে সন্তান তার মায়ের সম্পত্তির অংশীদার হবে। সৎপিতার সম্পত্ত
prot_0035_01,suspect,,0.5213,mixed,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমি একজন গৃহিণী এবং তিন সন্তানের মা। আমার স্বামী আমাকে না জানিয়ে ঢাকায় বিয়ে করেছেন। এখন আমাদের ভরণপোষণ দেওয়া বন্ধ কর,চেয়ারম্যানের সাদা স্ট্যাম্প কাগজে সই নেওয়ার বিষয়টি পরিষ্কার নয়। ভরণপোষণের জন্য আপনি পারিবারিক আদালতে মামলা করতে পারে
prot_0036_07,suspect,,0.5213,mixed,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমি একজন গৃহিণী এবং তিন সন্তানের মা। আমার স্বামী আমাকে না জানিয়ে ঢাকায় বিয়ে করেছেন। এখন আমাদের ভরণপোষণ দেওয়া বন্ধ করে দি,চেয়ারম্যানের সাদা স্ট্যাম্প কাগজে সই নেওয়ার বিষয়টি পরিষ্কার নয়। ভরণপোষণের জন্য আপনি পারিবারিক আদালতে মামলা করতে পারেন। আ
prot_0056_05,suspect,,0.5218,bengali,"পারিবারিক আদালত আইন, ২০২৩",পারিবারিক আদালতের এখতিয়ার,আমি স্নাতক পর্যায়ে পড়াশোনা করছি। আমার বাবা একটি ব্যাংকে কর্মরত। তিনি প্রথম স্ত্রী থাকা সত্ত্বেও আমার মাকে জোরপূর্বক বিয়ে,আপনার বাবা জীবিত অবস্থায় তাঁর সম্পত্তি অন্য ছেলেমেয়েকে লিখে দিলে আপনার করণীয় কিছু নেই। জীবিত অবস্থায় তিনি তাঁর সম্পত্তি 
prot_0087_05,suspect,,0.5221,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,"একটি বাড়িতে চার ভাই আলাদাভাবে বসবাস করতেন। তাঁদের নাম যথাক্রমে ক, খ, গ ও ঘ। একসময় ‘খ’ তাঁর স্ত্রী ও এক মেয়ে রেখে মারা যা","আপনার চিঠির প্রথম প্রশ্নের জবাবে জানাচ্ছি, মরহুম খ-এর ভাইয়েরা তাঁর সম্পত্তির অংশ পাবেন। তবে মরহুম খ-এর কন্যা এ ক্ষেত্রে "
prot_0054_04,suspect,,0.5221,mixed,"1The Penal Code, 1860",Punishment for wrongful confinement,"পরিবারের সদস্যদের মধ্যে আমি ছোট এবং শিক্ষাগত যোগ্যতার (স্নাতকোত্তর) দিক দিয়ে এগিয়ে। আর আমার বাবা, মা ও ভাই গোঁড়ামির দিক ",প্রাপ্তবয়স্ক ছেলেমেয়েকে তার ইচ্ছের বিরুদ্ধে আটকে রাখা অথবা তার চলাচলে প্রতিবন্ধকতা সৃষ্টি করা আইনের পরিপন্থী কিন্তু এসবে
prot_0091_06,suspect,,0.5225,english,"The Hindu Women's Rights to Property Act, 1937",Devolution of property,"আমার নাম বৃষ্টি। উচ্চমাধ্যমিকে পড়ছি। বয়স ১৯-২০ বছর। যখন আমার বয়স চার-পাঁচ বছর, তখন আমার বাবা মারা যান। আমার বাবার বড় ভাই",অবিবাহিত মেয়ে হিসেবে আপনি আপনার বাবার সম্পত্তি থেকে ভরণ-পোষণ পাওয়ার অধিকারী। যদিও দায়ভাগা আইন অনুযায়ী আপনি বিয়ের পর বাবা
prot_0015_01,suspect,,0.5231,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,বিয়ের এক বছর আগেই আমার স্বামী কোনো কারণে তাঁর পরিবার ছাড়তে বাধ্য হন। আমার সম্মতি ছাড়াই অভিভাবকেরা তাঁর সঙ্গে আমার বিয,আপনার শ্বশুর জীবিত অবস্থায় তাঁর সম্পত্তি থেকে খুশি হয়ে আপনাদের দিয়ে যেতে পারেন। তিনি জীবিত থাকা অবস্থায় তাঁর সম্পত্ত
prot_0020_01,suspect,,0.5231,english,"1The Penal Code, 1860",Adultery,আমি স্নাতকোত্তর শেষ করে চাকরি খুঁজছি। পাশের বাসার এক নারী তাঁর স্বামী ও দুই সন্তানসহ থাকেন। প্রতিবেশী হিসেবে তাঁর বাসায়,আমাদের বিয়ে হয়েছে চার বছর। আমার স্বামী নিয়মিত আমার ওপর নির্যাতন চালান। আমাদের তিন বছরের একটি মেয়ে আছে। আমি তালাক চাই
prot_0067_01,suspect,,0.5235,english,"The Guardians and Wards Act, 1890",Title of guardian to custody of ward,স্বামীর দ্বিতীয় বিয়ে এবং দাম্পত্য কলহের কারণে আমি গত বছরের ১৮ মে নোটারি পাবলিকের মাধ্যমে আমার স্বামীকে তালাক দিই। আমাদের,মুসলিম আইনে সন্তানের আইনানুগ অভিভাবক হচ্ছেন বাবা। কিন্তু একজন মা হেফাজতকারী হিসেবে ছেলেসন্তানকে সাত বছর এবং মেয়েসন্তানকে
prot_0056_02,suspect,,0.5269,english,"The Partnership Act, 1932",Dissolution on the happening of certain contingencies,একটি সরকারি নির্মাণ অধিদপ্তরের তালিকাভুক্ত ঠিকাদার গত বছর মারা যান। তিনি তাঁর ছেলেকে এফিডেভিটের মাধ্যমে প্রতিষ্ঠানের ব্য,তালিকাভুক্ত ঠিকাদার একটি প্রতিষ্ঠান হয়ে থাকলে তা ঠিকাদারের মৃত্যুর পরও চলতে পারে। তবে মৃত ব্যক্তির সঙ্গে চুক্তি অথবা মৃত
prot_0080_04,suspect,,0.5285,english,"The Muslim Personal Law (Shariat) Application Act, 1937",Application of Personal Law to Muslims,আমার বয়স ৩১ বছর। ২০০৬ সালের অক্টোবরে প্রবাসী এক ছেলের সঙ্গে টেলিফোনে আমার বিয়ে হয়। অনুষ্ঠানে ছেলের এক বন্ধু ছাড়া তার পরি,আপনার বিয়েতে কাবিননামা হয়েছিল কি না অথবা দেনমোহর নির্ধারিত হয়েছিল কি না সে ব্যাপারটি পরিষ্কার নয়। যেহেতু আপনার বিয়ে টেলি
