qid,provision_id,domain,quality_tier,question_word_count,content_overlap,title_content_overlap,question
synth_cov_v3_0aa08135c776,other_1425_s8,other,coverage,19,0.25,1.0,একটি জরুরি বিষয়ে জানার ছিল। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। বিশ্ববিদ্যালয়ের কর্মচারী নিয়ে আইনে কী বলা আছে?
synth_cov_v3_d2f62ac8f68e,other_326_s102,other,coverage,78,0.037,1.0,"আমি একজন সরকারি চাকরিজীবী। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। Bar to suits বিষয়ে নিয়ম কী?"
synth_cov_v3_f05652d34991,other_130_s28,other,coverage,65,0.1304,0.75,"আমি একজন ছোট ব্যবসায়ী। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। দরখাস্ত for সরকার জমি নিয়ে নেওয়া of land in case of certain private aerial ropeways সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব? বিষয়টি নিয়ে সঠিক তথ্য জানতে চাই।"
synth_cov_v3_102d80007ad6,other_88_s17,other,coverage,167,0.0536,1.0,"বেশ কিছুদিন ধরে একটি বিষয় নিয়ে চিন্তায় আছি। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। ঘটনাটি ঘটেছে গত রমজান মাসে। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। আমি জানি না কোথা থেকে শুরু করব। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। ঘটনাটি গত বছরের। ঘটনাটি প্রায় ছয় মাস আগের। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। সমস্যাটি প্রায় দুই বছর ধরে চলছে। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। Effect of death before right to sue accrues নিয়ে আইনে কী বলা আছে?"
synth_cov_v3_3f659197fab7,other_310_s61,other,coverage,99,0.0143,0.5,"আমি নিতান্তই সাধারণ একটি পরিবারের সন্তান। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। ঘটনাটি গত বছরের। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। সমস্যাটি প্রায় দুই বছর ধরে চলছে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আশপাশের লোকজন নানা রকম পরামর্শ দিচ্ছে, কোনটা ঠিক বুঝতে পারছি না। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। Escape from কার কাছে থাকবে বিষয়ে নিয়ম কী?"
synth_cov_v3_f86e8cb404d3,other_26_s127,other,coverage,74,0.0196,0.5,"চাকরি করি একটি ছোট বেসরকারি অফিসে। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। সমস্যাটি প্রায় দুই বছর ধরে চলছে। আমি জানি না কোথা থেকে শুরু করব। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। ঘটনাটি গত বছরের। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। বিনিময়ে যা দেওয়া হয় for guarantee ক্ষেত্রে আমার কী করা উচিত?"
synth_cov_v3_67718b454e94,other_1134_s13,other,coverage,81,0.0667,1.0,"আমি একজন প্রবাসী, দীর্ঘদিন বিদেশে ছিলাম। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। ঘটনাটি প্রায় ছয় মাস আগের। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। ট্রাস্টি বোর্ড গঠন বিষয়ে কোন আইন প্রযোজ্য হবে? কী করা উচিত জানালে কৃতজ্ঞ থাকব।"
synth_cov_v3_075eb1ec95c1,other_692_s21,other,coverage,118,0.1013,1.0,"গ্রামের বাড়িতে বাবা-মায়ের সঙ্গে থাকি। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। আমি জানি না কোথা থেকে শুরু করব। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। সমস্যাটি প্রায় দুই বছর ধরে চলছে। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। ঘটনাটি ঘটেছে গত রমজান মাসে। ঘটনাটি গত বছরের। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। Power of police-officers to search suspected persons in streets, etc বিষয়ে নিয়ম কী?"
synth_cov_v3_2fd31873f119,other_1139_s5,other,coverage,192,0.0244,1.0,"আমার বাবা একজন দিনমজুর ছিলেন। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। ঘটনাটি গত বছরের। শুরুতে বিষয়টিকে তেমন গুরুত্ব দিইনি। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। ঘটনাটি ঘটেছে গত রমজান মাসে। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। বিষয়টি নিয়ে অনেক দিন ধরেই দুশ্চিন্তায় আছি। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। ঘটনাটি প্রায় ছয় মাস আগের। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। আশপাশের লোকজন নানা রকম পরামর্শ দিচ্ছে, কোনটা ঠিক বুঝতে পারছি না। সমস্যাটি প্রায় দুই বছর ধরে চলছে। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। আমি জানি না কোথা থেকে শুরু করব। বোর্ডের গঠন সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব? আশা করি একটি সমাধান পাব।"
synth_cov_v3_6fe6bec6a784,women_children_1063_s13,women_children,coverage,122,0.0682,1.0,"আমি বিশ্ববিদ্যালয়ে পড়াশোনা করি। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। পরিবারের কাউকে খুলে বলতে পারছি না। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। ভয়ে এতদিন কাউকে বলিনি। থানা-পুলিশ করতে আমার ভয় লাগে। পরিবার থেকে চাপ দেওয়া হচ্ছে বিষয়টি ধামাচাপা দিতে। রাতে ঠিকমতো ঘুম হচ্ছে না। ঘটনাটি ঘটেছে গত রমজান মাসে। লোকলজ্জার ভয়ে এতদিন চুপ ছিলাম। আশপাশের লোকজন নানা রকম পরামর্শ দিচ্ছে, কোনটা ঠিক বুঝতে পারছি না। ঘটনাটি প্রায় ছয় মাস আগের। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। অন্তবর্তীকালীন সুরক্ষা আদেশ ও নোটিশ জারী ক্ষেত্রে আমার কী করা উচিত?"
synth_cov_v3_47326ccf8aed,other_20_s4,other,coverage,131,0.0851,0.8889,"চাকরি করি একটি ছোট বেসরকারি অফিসে। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। শুরুতে বিষয়টিকে তেমন গুরুত্ব দিইনি। আমি জানি না কোথা থেকে শুরু করব। সমস্যাটি প্রায় দুই বছর ধরে চলছে। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। ঘটনাটি ঘটেছে গত রমজান মাসে। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। Matrimonial কোন আদালত দেখতে পারে of High Court Division to be exercised subject to Act Exception বিষয়ে নিয়ম কী?"
synth_cov_v3_d88e73e9f876,other_73_s6A,other,coverage,62,0.1429,1.0,"আমার বয়স ত্রিশের কাছাকাছি। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। আশপাশের লোকজন নানা রকম পরামর্শ দিচ্ছে, কোনটা ঠিক বুঝতে পারছি না। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। Repeal of Act making textual amendment in Act or Regulation ক্ষেত্রে আমার কী করা উচিত?"
synth_cov_v3_c67d8cb5123a,other_1467_s61,other,coverage,132,0.0417,1.0,"সংসারে আমিই একমাত্র উপার্জনক্ষম। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। শুরুতে বিষয়টিকে তেমন গুরুত্ব দিইনি। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। ঘটনাটি ঘটেছে গত রমজান মাসে। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। মোবাইল কোর্টের এখতিয়ার নিয়ে আইনে কী বলা আছে? বিষয়টি নিয়ে সঠিক তথ্য জানতে চাই।"
synth_cov_v3_24c6d451570f,consumer_1452_s37,consumer,coverage,51,0.0789,1.0,"আমরা তিন ভাইবোন। আমার পরিচিত একজন বলেছেন এতে নাকি অনেক সময় লাগে। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। দোকানটি আমাদের এলাকারই। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। অর্থ বণ্টন সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব? বিষয়টি নিয়ে সঠিক তথ্য জানতে চাই।"
synth_cov_v3_c00b9a024979,other_1426_s30,other,coverage,107,0.0533,1.0,"একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। এখন পরিস্থিতি আরও খারাপের দিকে যাচ্ছে। আমি জানি না কোথা থেকে শুরু করব। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। বিষয়টি স্থানীয়ভাবে মীমাংসার চেষ্টা করেছিলাম, কিন্তু কাজ হয়নি। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। ঘটনাটি গত বছরের। ঘটনাটি প্রায় ছয় মাস আগের। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। ঘটনাটি ঘটেছে গত রমজান মাসে। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। অর্থ কমিটি ক্ষেত্রে আমার কী করা উচিত?"
synth_cov_v3_abdbdeaae716,other_849_s6,other,coverage,24,0.2667,1.0,"আমরা চার ভাইবোন, আমি সবার ছোট। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। আরজি দ্বারা মামলা রুজু নিয়ে আইনে কী বলা আছে?"
synth_cov_v3_bd7ca2083bfc,other_867_s40,other,coverage,52,0.0488,1.0,"আমি সম্প্রতি একটি চাকরিতে যোগ দিয়েছি। আত্মীয়স্বজনরা দুই পক্ষেই ভাগ হয়ে গেছেন। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। প্রবিধান ক্ষেত্রে আমার কী করা উচিত? আমাকে একটু পথ বাতলে দিন।"
synth_cov_v3_906e1d49d02d,criminal_procedure_11_s456,criminal_procedure,coverage,196,0.0312,0.6667,"আমি লেখাপড়া বেশি দূর করতে পারিনি। গ্রামের মুরব্বিরা বসে একবার সালিস করেছিলেন, তাতেও সমাধান হয়নি। আমার পক্ষে বারবার শহরে যাওয়া কঠিন। ঘটনাটি ঘটেছে গত রমজান মাসে। থানায় একবার গিয়েছিলাম, কিন্তু ভালো ব্যবহার পাইনি। সন্তানদের ভবিষ্যৎ নিয়ে দুশ্চিন্তা হচ্ছে। ঘটনাটি গত বছরের। আমি চাই বিষয়টির একটা শান্তিপূর্ণ সমাধান হোক। কয়েকজন শুভাকাঙ্ক্ষী বলছেন মামলা না করতে। রাতে ঠিকমতো ঘুম হচ্ছে না। ঘটনার পর থেকে ঘরে-বাইরে কথা শুনতে হচ্ছে। এর আগে কখনো এ ধরনের সমস্যায় পড়িনি। আমি জানি না কোথা থেকে শুরু করব। কাউকে বিশ্বাস করে বলতে সাহস পাচ্ছি না। শুরুতে বিষয়টিকে তেমন গুরুত্ব দিইনি। ঘটনার কোনো সাক্ষী নেই। প্রায় তিন বছর ধরে একই সমস্যা চলে আসছে। সমস্যাটি প্রায় দুই বছর ধরে চলছে। আদালতে যাওয়ার মতো টাকাপয়সা আমার নেই। কয়েক মাস ধরে বিষয়টি নিয়ে টানাপোড়েন চলছে। এলাকার একজন মেম্বারের সঙ্গে কথা বলেছিলাম। পরিবারের চাপ রয়েছে দ্রুত একটা সিদ্ধান্ত নেওয়ার। কাগজপত্র সব ঠিকঠাক আছে কি না তা-ও নিশ্চিত নই। আমার তেমন কোনো আর্থিক সামর্থ্য নেই। একজন পরিচিত মানুষ বলেছিলেন আইনি পথে যেতে, কিন্তু আমি ভয় পাচ্ছি। পরিবারের কাউকে খুলে বলতে পারছি না। আমি খুব দুশ্চিন্তায় দিন কাটাচ্ছি। কার কাছে গেলে সঠিক পরামর্শ পাব বুঝতে পারছি না। শাস্তি for lurking house-জোর করে ঢুকে পড়া or house-breaking by night বিষয়ে নিয়ম কী?"
