"qid","annotator","n_words","question_bn","paraphrase","pii_removed","notes"
"prot_0001_01","Sifat","78","আমার ভাই ১৬ বছর বয়সে কাজি অফিসে গিয়ে বিয়ে করে। তখন সে তার বয়স বাড়িয়ে বলেছিল। কিন্তু অফিশিয়াল কাগজে তার এবং তার স্ত্রীর বয়স ১৬ তখন। সাত-আট বছর ধরে তাদের মধ্যে কোনো যোগাযোগ নেই। যে কাজী অফিসে তাদের বিয়ে হয়েছিল, সেখানে তাদের বিয়ের কোনো কাবিননামাও খুঁজে পাওয়া যাচ্ছে না। আমার ভাই বর্তমানে আরেক মেয়েকে বিয়ে করতে চায়। এ জন্য সে আগের স্ত্রীকে তালাক দিতে চায়। কিন্তু যেহেতু কোনো কাগজ পাওয়া যায়নি আগের বিয়ের, তালাক দেওয়ার প্রয়োজনীয়তা কি আছে?","আমার ভাই যখন ১৬ বছরের, তখন কাজি অফিসে গিয়ে বিয়ে করেছিল। সে সময় নিজের বয়স বাড়িয়ে বলেছিল, অথচ অফিসের কাগজে তখন তার আর তার বউয়ের দুজনেরই বয়স লেখা ১৬। গত সাত-আট বছর ধরে ওদের মধ্যে কোনো যোগাযোগ নেই। যে কাজি অফিসে বিয়েটা হয়েছিল, সেখানে খুঁজেও ওদের কাবিননামা পাওয়া যাচ্ছে না। এখন ভাই আরেকটা মেয়েকে বিয়ে করতে চায়, তাই আগের বউকে তালাক দিতে চাইছে। কিন্তু আগের বিয়ের কোনো কাগজই যখন পাওয়া যাচ্ছে না, তখন কি তালাক দেওয়ার আদৌ দরকার আছে?","no",""
"prot_0003_05","Sifat","79","আমি ও আমার স্ত্রী দুজনই সরকারি চাকরিজীবী। আমরা আমাদের এক দরিদ্র দূরসম্পর্কের আত্মীয়ের এক মাস বয়সী কন্যাকে তাঁদের পূর্ণ সম্মতিতে এককালীন নিয়ে নিয়েছি। সে এখন আমাদের সন্তান হিসেবে বড় হচ্ছে। নাম রেখেছি ছালছাবিল। বয়স এখন এক বছর। আমি আমার সম্পত্তি আমার একমাত্র কন্যা হিসেবে ছালছাবিলকে উইল করে দিতে চাই। এতে কোনো আইনগত বাধা আছে কি না? কিংবা আমার অবর্তমানে ভবিষ্যতে আমার ভাই-ভাতিজারা ছালছাবিল আমার কন্যা নয় বলে ওই সম্পত্তিতে কোনো দাবি বা হস্তক্ষেপ করতে পারবে কি না? বাবলু কুড়িগ্রাম","আমি আর আমার স্ত্রী দুজনেই সরকারি চাকরি করি। আমাদের এক গরিব দূরসম্পর্কের আত্মীয়ের এক মাস বয়সী মেয়েকে তাঁদের পুরো সম্মতি নিয়ে একেবারে আমাদের কাছে নিয়ে এসেছি। মেয়েটি এখন আমাদের সন্তান হিসেবেই বড় হচ্ছে। ওর একটা নাম রেখেছি, এখন ওর বয়স এক বছর। আমার সম্পত্তি আমার একমাত্র মেয়ে হিসেবে ওর নামে উইল করে দিতে চাই। এতে আইনে কোনো বাধা আছে কি? নাকি আমি না থাকলে পরে আমার ভাই-ভাতিজারা ‘ও তো তোমার মেয়ে না’ বলে ওই সম্পত্তিতে দাবি তুলতে বা হস্তক্ষেপ করতে পারবে?","yes","Removed the child's name and the signature (name, district)."
"prot_0005_01","Sifat","38","আমি ব্যবসায়ী, আমার স্ত্রী সরকারি কর্মকর্তা। মুসলিম। আমার স্ত্রীর বড় ভাইয়ের প্রথম স্ত্রীর (তালাকপ্রাপ্ত) আট বছর বয়সী মেয়েকে আমরা দত্তক হিসেবে নিতে চাই। মেয়েটি অবশ্য এখন আমাদের সঙ্গেই থাকে। দত্তক সন্তানের মা-বাবার নাম কি আমাদের নামে করতে পারি?","আমি ব্যবসা করি, আমার স্ত্রী সরকারি অফিসার। আমরা মুসলমান। আমার স্ত্রীর বড় ভাইয়ের প্রথম স্ত্রীর (যাঁর সঙ্গে তালাক হয়ে গেছে) আট বছরের মেয়েকে আমরা দত্তক নিতে চাই। মেয়েটা এখন আমাদের কাছেই থাকে। দত্তক নেওয়া মেয়ের কাগজে মা-বাবার নাম হিসেবে কি আমাদের নাম দেওয়া যাবে?","no",""
"prot_0007_02","Sifat","33","একজন হিন্দুধর্মাবলম্বী ব্যক্তির কোনো পুত্র নেই। শুধু এক বিবাহিত কন্যা আছে। ওই কন্যার নাতি ও নাতনি আছে। এখন সেই ব্যক্তির মৃত্যুর পর কে হবে তাঁর সম্পত্তির উত্তরাধিকারী—তাঁর বিধবা স্ত্রী, নাকি বিবাহিত কন্যার নাতি-নাতনি?","এক হিন্দু ভদ্রলোকের কোনো ছেলে নেই, আছে কেবল একজন বিবাহিত মেয়ে। সেই মেয়ের নাতি-নাতনিও আছে। লোকটি মারা গেলে তাঁর সম্পত্তির ওয়ারিশ কে হবে—তাঁর বিধবা স্ত্রী, নাকি বিবাহিত মেয়েটির নাতি-নাতনিরা?","no",""
"prot_0010_04","Sifat","76","আমরা এক ভাই, চার বোন। আমাদের বাবা ২০১০ সালে এবং মা ২০১৪ সালে মারা যান। বাবার নামে সম্পত্তি ছিল। আমার বাবার মৃত্যুর আগে ২০০৯ সালে ডেভেলপারের সঙ্গে চুক্তি হয়। পৌনে দুই কাঠার সম্পত্তি। চুক্তি মোতাবেক আমরা পাব পাঁচটি ফ্ল্যাট ও ডেভেলপার পাবে পাঁচটি ফ্ল্যাট। বাড়ির কাজ সম্পন্ন হওয়ার পথে। কিন্তু এক ভাই হিসাবে পাঁচটি ফ্ল্যাটের মধ্যে চার বোনকে কী নিয়মে বণ্টন করব? মুসলিম ফারায়েজ অনুযায়ী বাবা ও মায়ের অবর্তমানে ওই সম্পত্তির (ফ্ল্যাটের) কে কতটুকু অংশীদার হবে?","আমরা এক ভাই আর চার বোন। বাবা মারা গেছেন ২০১০ সালে, মা ২০১৪ সালে। সম্পত্তিটা ছিল বাবার নামে। মারা যাওয়ার আগে ২০০৯ সালে বাবা একটা ডেভেলপারের সঙ্গে চুক্তি করেছিলেন। জমির পরিমাণ পৌনে দুই কাঠা। চুক্তি অনুযায়ী পাঁচটা ফ্ল্যাট আমাদের, আর পাঁচটা ডেভেলপারের। বাড়ির কাজ প্রায় শেষের দিকে। এখন একমাত্র ভাই হিসেবে আমি এই পাঁচটা ফ্ল্যাট চার বোনের সঙ্গে কোন নিয়মে ভাগ করব? বাবা-মা দুজনেই যখন নেই, তখন মুসলিম ফারায়েজ মতে এই ফ্ল্যাটগুলোর কে কত ভাগ পাবে?","no",""
"prot_0012_01","Sifat","98","আমার মায়ের দিকে তিন ভাই, তিন বোন। বোন একজন জীবিত এবং ভাই একজন জীবিত। আমার নানা তাঁর মায়ের কাছ থেকে উত্তরাধিকার সূত্রে কিছু জমি পেয়েছেন, যেটা আগে কেউ জানতেন না। এক দূরসম্পর্কের মামা সম্পত্তির খোঁজ বের করে আমাদের জানান। এখন আমার মায়ের দিকের যে ভাইবোনেরা জীবিত নেই, তাঁরা এবং তাঁদের ছেলেমেয়েরা কি এই সম্পত্তির উত্তরাধিকার হবেন? যিনি এই সম্পত্তির খোঁজ এনেছেন, তাঁর ভাষ্যমতে সবাই জীবিত অবস্থায় এই সম্পত্তির কথা জানতেন না। সুতরাং এখন যাঁরা জীবিত আছেন, তাঁরাই শুধু এই সম্পত্তির উত্তরাধিকার। কারণ, মৃত মানুষ সম্পত্তির উত্তরাধিকার হতে পারেন না। সঠিক আইনটি জানালে অনেক উপকৃত হতাম। নাম প্রকাশে অনিচ্ছুক","মায়ের দিকে ভাই ছিলেন তিনজন, বোনও তিনজন। এখন তাঁদের মধ্যে একজন বোন আর একজন ভাই বেঁচে আছেন। আমার নানা তাঁর মায়ের কাছ থেকে ওয়ারিশ সূত্রে কিছু জমি পেয়েছিলেন, যেটার কথা আগে কারও জানা ছিল না। দূরসম্পর্কের এক মামা খোঁজখবর করে জমিটার কথা আমাদের জানিয়েছেন। এখন প্রশ্ন হলো, মায়ের যে ভাইবোনেরা মারা গেছেন, তাঁরা বা তাঁদের ছেলেমেয়েরা কি এই জমির ওয়ারিশ হবেন? যে মামা খোঁজটা এনেছেন, তিনি বলছেন—বেঁচে থাকতে তো কেউ এই জমির কথা জানতেনই না, তাই এখন যাঁরা বেঁচে আছেন শুধু তাঁরাই ওয়ারিশ; কারণ মরা মানুষ তো আর সম্পত্তির ওয়ারিশ হতে পারে না। আসল আইনটা কী, জানালে খুব উপকার হতো।","no","Dropped the 'name withheld' sign-off."
"prot_0014_02","Sifat","91","আমি বিয়ে করি ২০০৮ সালের ১৬ ডিসেম্বর। বিয়ের এক মাস পার হওয়ার পর তার সঙ্গে আমার সমস্যার সৃষ্টি হয়। আমি তাকে ২০১০ সালের আগস্টে তালাক দিই। সে তালাকের চিঠি পাওয়ার পরে, আমার নামে একটি যৌতুকের মামলা করে। আদালত এই মামলায় গত মার্চ মাসে আমার পক্ষে রায় দেন। কিন্তু এখন পর্যন্ত সে আমার নামে কোনো পারিবারিক মামলা করেনি। আমার কাছে তার পক্ষ থেকে কোনো কাবিনের টাকা চাওয়া হয়নি। যৌতুকের মামলার রায়ের কত দিন, মাস বা বছর পর্যন্ত সময় থাকে? এই পারিবারিক মামলা করতে আমাকে সঠিক পরামর্শ দিলে আমি আপনার কাছে উপকৃত থাকবে","২০০৮ সালের ১৬ ডিসেম্বর আমার বিয়ে হয়। বিয়ের মাস খানেক পার হতেই ওর সঙ্গে ঝামেলা শুরু হয়। ২০১০ সালের আগস্টে আমি ওকে তালাক দিই। তালাকের চিঠি হাতে পেয়ে সে আমার বিরুদ্ধে একটা যৌতুকের মামলা করে দেয়। গত মার্চে আদালত সেই মামলার রায় আমার পক্ষে দিয়েছেন। তবে এখনো পর্যন্ত সে আমার নামে কোনো পারিবারিক মামলা করেনি, আর তার দিক থেকে কাবিনের টাকাও চাওয়া হয়নি। যৌতুকের মামলার রায়ের পর কত দিন, কত মাস বা কত বছর পর্যন্ত সময় থাকে? এই পারিবারিক মামলার ব্যাপারে ঠিক পরামর্শটা দিলে আপনার কাছে কৃতজ্ঞ থাকব।","no",""
"prot_0018_04","Sifat","66","আমার এক আত্মীয় ১৯৬০ সালে পরিবারের কাউকে না জানিয়ে দ্বিতীয় বিয়ে করেন। পরে প্রথম স্ত্রীর ছেলেমেয়েরা দ্বিতীয় স্ত্রীর চার ছেলেমেয়ের লেখাপড়া শেখায় ও প্রতিষ্ঠিত করে। ২০০৮ সালে প্রথম স্ত্রী ও ২০১১ সালে সেই ব্যক্তি মারা যান। এখন দ্বিতীয় স্ত্রীর ছেলেমেয়েরা বলছে, স্বামীর আগে স্ত্রী মারা গেছে বলে স্বামীর সম্পত্তির অংশ প্রথম স্ত্রীর ছেলেমেয়েরা পাবে না। প্রশ্ন হলো, প্রথম স্ত্রীর ফারায়েজ অংশ তাঁর সন্তানেরা পাবে কি না?","আমার এক আত্মীয় ১৯৬০ সালে বাড়ির কাউকে কিছু না জানিয়ে দ্বিতীয় বিয়ে করেছিলেন। পরে তাঁর প্রথম স্ত্রীর ছেলেমেয়েরাই দ্বিতীয় স্ত্রীর চার ছেলেমেয়েকে পড়াশোনা করিয়ে দাঁড় করিয়ে দেয়। প্রথম স্ত্রী মারা যান ২০০৮ সালে, আর ওই আত্মীয় মারা যান ২০১১ সালে। এখন দ্বিতীয় স্ত্রীর ছেলেমেয়েরা বলছে, স্বামীর আগেই যেহেতু প্রথম স্ত্রী মারা গেছেন, তাই স্বামীর সম্পত্তিতে প্রথম স্ত্রীর ছেলেমেয়েদের কোনো ভাগ নেই। আমার প্রশ্ন, প্রথম স্ত্রীর ফারায়েজের অংশটা কি তাঁর সন্তানেরা পাবে?","no",""
"prot_0028_01","Sifat","97","২০১০ সালে আমার স্বামী তাঁর এক অধীনস্থ কর্মচারীকে বিয়ে করেন। তখন আমাদের দাম্পত্যজীবনের বয়স প্রায় ৩০ বছর। বিয়ের পর তিনি বাসা থেকে বেরিয়ে যান। তিনি আমার অনুমতি ছাড়াই দ্বিতীয় বিয়ে করেন, আমার সঙ্গে খারাপ ব্যবহার করেন এবং বিভিন্ন সময়ে তালাকের হুমকি দেন। আমার আর্থিক অবস্থা ভালো নয় বলে আমার স্বামী বুঝে নিয়েছেন যে আমি তাঁকে কোনো শাস্তি দিতে পারব না। তিনি আমার খরচ বহন তো দূরে থাক, আমার সঙ্গে কোনো যোগাযোগই রাখেন না। সন্তানদেরও খোঁজ নেন না ঠিকভাবে। এ অবস্থায় আমার স্বামীর সঙ্গে কি আমার এখনো সম্পর্ক আছে বলে মনে করেন? আমি এখন কী ব্যবস্থা নিতে পারি?","২০১০ সালে আমার স্বামী তাঁর অফিসের এক অধস্তন কর্মীকে বিয়ে করেন। তখন আমাদের সংসারের বয়স প্রায় ৩০ বছর। ওই বিয়ের পর তিনি বাসা ছেড়ে চলে যান। আমার অনুমতি না নিয়েই দ্বিতীয় বিয়েটা করেছেন, আমার সঙ্গে দুর্ব্যবহার করেন, মাঝেমধ্যেই তালাক দেওয়ার ভয় দেখান। আমার টাকাপয়সার অবস্থা ভালো না, তাই তিনি ধরে নিয়েছেন যে আমি তাঁর কোনো শাস্তির ব্যবস্থা করতে পারব না। আমার খরচ দেওয়া তো দূরের কথা, আমার সঙ্গে কোনো যোগাযোগই রাখেন না। ছেলেমেয়েদের খোঁজখবরও ঠিকমতো নেন না। এই অবস্থায় আপনার কী মনে হয়, তাঁর সঙ্গে কি আমার এখনো স্বামী-স্ত্রীর সম্পর্ক আছে? এখন আমি কী ব্যবস্থা নিতে পারি?","no",""
"prot_0032_04","Sifat","50","দাদা যখন সুস্থ ছিলেন, তখন তিনি আমার চাচাদের বলেন বাবার ভিটা আমাদের মধ্যে ভাগ করে দিতে। এমনকি তিনি জায়গাও নির্দিষ্ট করে দেন। জমি মেপে দিতে বললে চাচারা বলেন, আমরা নাকি জমি পাব না। কিন্তু এখন আমাদের একটা বাড়ি জরুরি হয়ে পড়েছে। এ পরিস্থিতিতে জমি পাওয়ার জন্য আমরা কী করতে পারি?","দাদা যখন ভালো ছিলেন, তখন চাচাদের বলেছিলেন বাবার ভিটেটা আমাদের মধ্যে ভাগ করে দিতে। কোন জায়গাটা দিতে হবে, সেটাও ঠিক করে দিয়েছিলেন। কিন্তু জমিটা মেপে দিতে বললে চাচারা বলছেন, আমরা নাকি কোনো জমিই পাব না। অথচ এখন আমাদের একটা বাড়ি খুবই জরুরি দরকার। এ অবস্থায় জমিটা পেতে আমরা কী করতে পারি?","no","Text starts mid-story; the earlier part of the letter is not included."
"prot_0036_01","Sifat","65","গত ফেব্রুয়ারি মাসে আমার নানি অসুস্থ হওয়ার পর আমার মাকে তাঁর ১৬ শতাংশ জমি (হেবানামা) লিখে দেন। আমার মা নানিকে চিকিৎসা করান।এখন তিনি পুরোপুরি সুস্থ। এখন আমার মা ও নানির মধ্যে সম্পর্কের অবনতি হওয়ায় নানি হুমকি দিয়ে জমিটা ফেরত চাচ্ছেন। এখন আইনগতভাবে আমার মা জমির মালিক কি না? আর আমার মা জমিটা না দিলে নানি কি তা নিতে পারবেন? জমিটুকু এখন নানিই ভোগ করছেন।ইমাম হোসাইনগাজীপুর","গত ফেব্রুয়ারিতে আমার নানি অসুস্থ হওয়ার পর তাঁর ১৬ শতাংশ জমি হেবানামা করে আমার মায়ের নামে লিখে দেন। মা-ই নানির চিকিৎসা করিয়েছেন, এখন তিনি একদম সুস্থ। কিন্তু এখন মা আর নানির সম্পর্ক খারাপ হয়ে যাওয়ায় নানি হুমকি দিয়ে জমিটা ফেরত চাইছেন। আইন অনুযায়ী এখন কি জমিটার মালিক আমার মা? আর মা যদি জমি ফেরত না দেন, তাহলে কি নানি সেটা নিয়ে নিতে পারবেন? জমিটা অবশ্য এখনো নানিই ভোগ করছেন।","yes","Removed signature (name, district)."
"prot_0037_07","Sifat","47","এখন আমি তাকে কোনোভাবেই মেনে নিতে পারছি না। যার কারণে আমি মেয়েটিকে আবার কাজির মাধ্যমে তালাক দিয়েছি। মেয়ে আমাকে বিভিন্ন সময়ে ভয়ভীতি দেখায়। সে নাকি আমাকে ছাড়া অন্য কোথাও বিয়ে করবে না। এখন আমি যদি তার সঙ্গে সংসার না করতে চাই, তাহলে সে কোনো ব্যবস্থা নিতে পারবে?","এখন ওকে আমি কিছুতেই মেনে নিতে পারছি না। সে কারণেই মেয়েটিকে আবারও কাজির মাধ্যমে তালাক দিয়েছি। মেয়েটি নানা সময়ে আমাকে ভয়ভীতি দেখায়, বলে—আমাকে ছাড়া সে আর কোথাও বিয়ে করবে না। এখন আমি যদি ওর সঙ্গে সংসার করতে না চাই, তাহলে কি সে কোনো ব্যবস্থা নিতে পারবে?","no","Text starts mid-story; the earlier part of the letter is not included."
"prot_0043_01","Sifat","66","আমি একটি মেয়েকে ভালোবাসি। মেয়েটিও আমাকে ভালোবাসে। মেয়েটি জাতিতে ত্রিপুরা। বর্তমানে ১০ম শ্রেণীতে পড়ে। বয়স ১৭ বছর। তাকে আমি দুই বছর পর বিয়ে করতে চাই। আমি কি তাকে সাধারণভাবে বিয়ে করতে পারব? বিয়ের পর তার পরিবার আইনি ব্যবস্থা নিলে আমার কোনো সমস্যা হবে না তো? বিয়ের পর তার লেখাপড়ার সনদ কি আগের নামেই হবে, নাকি আমার দেওয়া নতুন নামে হতে পারে? মো. হূদয় ইসলাম (ছদ্মনাম) দিনাজপুর","একটা মেয়েকে আমি ভালোবাসি, মেয়েটিও আমাকে ভালোবাসে। ও ত্রিপুরা জনগোষ্ঠীর মেয়ে। এখন ১০ম শ্রেণিতে পড়ে, বয়স ১৭। দুই বছর পর ওকে বিয়ে করতে চাই। আমি কি সাধারণ নিয়মে ওকে বিয়ে করতে পারব? বিয়ের পর ওর পরিবার যদি আইনি ব্যবস্থা নেয়, তাহলে আমার কোনো বিপদ হবে না তো? আর বিয়ের পর ওর পড়াশোনার সার্টিফিকেটে কি আগের নামই থাকবে, নাকি আমার দেওয়া নতুন নামে করা যাবে?","yes","Removed signature (pseudonym, district)."
