qid,annotator,n_words,question_bn,paraphrase,pii_removed,notes,merged_from
prot_0002_03,Iftiaq,81,"আমি একজন সরকারি ব্যাংক কর্মকর্তা। আমার স্ত্রীর সঙ্গে বিবাদের কারণে দুই বছর ধরে আমরা আলাদা থাকছি। আমাদের এক সন্তান রয়েছে, যার ভরণপোষণ খরচ আমি দিতে চাই। আমার স্ত্রী তালাক দিতে রাজি নয়, আমি ডিভোর্স লেটার পাঠালে নারী নির্যাতনের মামলা করার হুমকি দিয়ে রেখেছে। এ ক্ষেত্রে আমার জিজ্ঞাসা, আমি তালাকের কাগজ পাঠালে সে নারী নির্যাতন বা অন্য কোনো মামলা করতে পারে কি না? মামলা করলে রায় আমার বিপক্ষে যাবে কি না? এ ছাড়া আমার চাকরি যাওয়ার আশঙ্কা রয়েছে কি? নাম প্রকাশে অনিচ্ছুক","আমি রাষ্ট্রায়ত্ত একটি ব্যাংকে চাকরি করি। স্ত্রীর সাথে পারিবারিক ঝামেলার কারণে গত দুই বছর ধরে আমরা আলাদা বসবাস করছি। আমাদের একটি সন্তান আছে, যার যাবতীয় ভরণপোষণের দায়িত্ব আমি বহন করতে প্রস্তুত। কিন্তু স্ত্রী কোনোভাবেই ডিভোর্সে রাজি হচ্ছে না, আমি তালাকনামা পাঠালে সে নারী নির্যাতনের মিথ্যা কেস ঠুকে দেবে বলে হুমকি দিচ্ছে। আমার প্রশ্ন হলো, আমি যদি তালাকের নোটিশ পাঠাই তবে সে কি নারী নির্যাতন বা অন্য কোনো ধারায় মামলা করতে পারবে? আর মামলা করলে আদালত কি আমার বিরুদ্ধেই রায় দেবে? এছাড়া এতে আমার সরকারি চাকরির কোনো ক্ষতি বা চাকরি চলে যাওয়ার ঝুঁকি থাকবে কি?",no,,
prot_0004_03,Iftiaq,54,"আমি একটি মেয়েকে চার বছর ধরে ভালোবাসি। সেও আমাকে ভালোবাসে। আমার বয়স ২৪ বছর, মেয়েটির বয়স ২০ বছর। আমি মুসলিম আর মেয়েটি হিন্দু। তার পরিবার আমাদের প্রেমের কথা জানার পর থেকে তাকে ঘরে আটকে রেখেছে। কিন্তু আমরা দুজন বিয়ে করতে চাই। দুজনের ধর্ম ঠিক রেখে আমরা কি বিয়ে করতে পারব? পারলে কীভাবে? রিপন খান","চার বছর ধরে একটা মেয়ের সাথে আমার প্রেমের সম্পর্ক, সেও আমাকে খুব ভালোবাসে। আমার বয়স এখন ২৪ আর মেয়েটির বয়স ২০ বছর। আমি মুসলমান ধর্মের আর মেয়েটি হিন্দু। প্রেমের বিষয়টি জানতে পেরে মেয়েটির বাড়ির লোকজন তাকে ঘরে বন্দি করে রেখেছে। তবে আমরা দুজনই বিয়ে করতে চাই। নিজেদের ধর্ম পরিবর্তন না করেই কি আমাদের বিয়ে করা সম্ভব? যদি সম্ভব হয় তবে কীভাবে করতে হবে?",yes,,
prot_0006_02,Iftiaq,45,আমার বিয়ে হয়েছে দুই বছর সাত মাস। স্বামী লন্ডনে থাকেন। তাঁর সঙ্গে আমার ফোনের মাধ্যমে বিয়ে হয়েছে। বিয়ের পর এখনো তাঁর সঙ্গে আমার দেখা হয়নি। গত এক বছরে তিনি আমার ভরণপোষণ দেননি। আমি এখন তাঁকে ডিভোর্স দিতে চাই। কীভাবে আমি তাঁকে ডিভোর্স দেব? নসরাত মারজিয়া,বিয়ে হয়েছে প্রায় দুই বছর সাত মাস হলো। স্বামী বিলেতে থাকেন এবং ফোনের মাধ্যমেই আমাদের বিয়ে হয়েছিল। বিয়ের পর আজও তাঁর সাথে আমার সামনাসামনি দেখা হয়নি। গত এক বছর ধরে তিনি আমাকে কোনো প্রকার ভরণপোষণ বা খরচাপাতিও দিচ্ছেন না। এই অবস্থায় আমি তাঁকে তালাক দিতে চাচ্ছি। তাঁকে কীভাবে ডিভোর্স পাঠানো সম্ভব?,yes,,
prot_0009_01,Iftiaq,34,আমরা সাত ভাইবোন ছিলাম। ১১ বছর আগে মেজো বোন মারা গেছে। আর তিন বছর হলো মেজো ভাই মারা গেছেন। মেজো ভাইয়ের সম্পদ নিয়ে সমস্যা দেখা দিয়েছে। তাঁর জমি ও ব্যাংকের টাকার ওয়ারিশ কে হবে?,আমরা মোট সাত ভাইবোন ছিলাম। প্রায় ১১ বছর পূর্বে আমার মেজো বোন মারা যান এবং বছর তিনেক আগে মেজো ভাইও মারা গেছেন। এখন মেজো ভাইয়ের সম্পত্তি নিয়ে জটিলতা তৈরি হয়েছে। তাঁর রেখে যাওয়া জমি এবং ব্যাংকে জমা টাকার আসল ওয়ারিশ কে কে হবেন?,no,,
prot_0011_02,Iftiaq,106,"আমরা দুই ভাই, এক বোন। মা মারা গেছেন ২০০৬ সালে। ২০০৯ সালে আমাদের বাবা দ্বিতীয় বিয়ে করেন একজন বিধবাকে নারীকে। যাঁর আগের পক্ষের একটি সাবালক ছেলে আছে। বর্তমানে আমার বাবাই ওই ছেলের লেখাপড়া ও অন্যান্য খরচ বহন করে আসছেন। আমার বাবার ১৬০ শতাংশের মতো জমি আছে, যা তিনি তাঁর মৃত্যুর আগে আমাদের ভাগ করে দিতে ইচ্ছুক নন। প্রশ্ন হলো, বাবার মৃত্যুর পর আমরা তিন ভাইবোন ও সৎমা/ভাই এই সম্পত্তির কে কতটুকু অংশীদার হব? দ্বিতীয়ত, আমার মা উত্তরাধিকার সূত্রে আমার নানার কাছ থেকে ৬৬ শতাংশ সম্পত্তি পেয়েছেন। মায়ের অবর্তমানে এখন আমার বাবাই তা ভোগ করছেন। বাবার অবর্তমানে ওই সম্পত্তিরই বা কে কতটুকু অংশীদার হব, জানালে উপকৃত হব","আমরা দুই ভাই ও এক বোন। ২০০৬ সালে আমাদের মা মারা যাওয়ার পর ২০০৯ সালে বাবা একজন বিধবা নারীকে দ্বিতীয় বিয়ে করেন। সেই সৎমায়ের আগের ঘরের একটি প্রাপ্তবয়স্ক ছেলে রয়েছে এবং বর্তমানে আমার বাবাই তার পড়াশোনাসহ সব খরচ চালাচ্ছেন। বাবার প্রায় ১৬০ শতাংশের মতো জমি আছে, যা তিনি বেঁচে থাকতে আমাদের মধ্যে বণ্টন করতে চান না। আমার প্রশ্ন, বাবার মৃত্যুর পরে আমরা তিন ভাইবোন এবং আমাদের সৎমা ও সৎভাই এই জমিতে কে কতটা ভাগ পাব? এছাড়া আমার মা নানার বাড়ি থেকে উত্তরাধিকারসূত্রে ৬৬ শতাংশ জমি পেয়েছিলেন, যা এখন বাবার দখলেই আছে। বাবা না থাকলে মায়ের সেই সম্পত্তির অংশীদারই বা কে কতটুকু হবে?",no,,
prot_0012_03,Iftiaq,148,"প্রথমে প্রেম হলেও পরে পারিবারিকভাবেই আমি ২০১১ সালে বিয়ে করি। মেয়েটি ঝগড়াটে, দুষ্টু ও একরোখা মনোভাবের কারণে প্রথমে কিছুটা অসম্মত থাকলেও পরে আমার পরিবার মেনে নেয়। কিন্তু বিয়ের দেড় মাসের মাথায় ঘুমের অনেকগুলো ট্যাবলেট পানিতে গুলে শরবত বানিয়ে আমাকে খাওয়ায় এবং অনেক চিকিৎসার পর আমি সুস্থ হই। ঘটনাটি সবাই জানে। কিন্তু তারপরেও আমি আবার তাকে নিয়ে ঘর করা শুরু করি। এবারও সে কাওকে পাত্তা না দিয়ে মনমতো চলাফেরা শুরু করে। ফলে ঝগড়া ও বাগ্বিতণ্ডা শুরু হয়। অবশেষে গত ২০১৩ সালের জানুয়ারি মাসে বিতর্কের একপর্যায়ে বাড়ি থেকে মেয়েটি বের হয়ে ঢাকায় আসে। কিন্তু একবারও বাড়ি আসেনি। সমস্যাটি সমাধানের জন্য চেয়ারম্যানের মাধ্যমে কয়েকবার চেষ্টা করি। কিন্তু টালবাহানা ছাড়া আর কিছুই নির্দিষ্ট করে বলে না। এখন এই অবস্থায় ক) আমরা যদি মেয়েকে তালাক দিই তবে কোনো মামলা করতে পারবে কি না? খ) আমি নতুন কোনো বিয়ে করতে পারব কি না? গ) এই সমস্যা থেকে বের হয়ে আসার পথ কী? নজরুল ইসলাম","প্রেমের সম্পর্ক থাকলেও পারিবারিকভাবে ২০১১ সালে আমাদের বিয়ে হয়। মেয়ের স্বভাব ঝগড়াটে ও জেদি হওয়ায় শুরুতে পরিবার একটু অমত করলেও পরে মেনে নিয়েছিল। কিন্তু বিয়ের দেড় মাসের মাথায় সে আমাকে একগাদা ঘুমের ওষুধ শরবতের সাথে গুলিয়ে খাইয়ে দেয়, অনেক চিকিৎসার পর আমি কোনোমতে বেঁচে ফিরি। এই ঘটনা পরিবারের সবাই জানে। তবুও আমি সব ভুলে তাকে নিয়ে সংসার করতে চেয়েছিলাম। কিন্তু সে কাউকে পাত্তা না দিয়ে নিজের মতো চলতে থাকে, যার ফলে প্রতিদিন অশান্তি লেগেই থাকত। শেষ পর্যন্ত ২০১৩ সালের জানুয়ারিতে ঝগড়ার এক পর্যায়ে সে বাড়ি ছেড়ে ঢাকায় চলে যায়, আর কখনোই ফিরে আসেনি। স্থানীয় চেয়ারম্যানের মাধ্যমে বিষয়টি মীমাংসার চেষ্টা করেও কোনো ফল পাইনি, শুধু সময়ক্ষেপণ করেছে। এখন প্রশ্ন হলো: ১) আমি যদি তাকে তালাক দিই তবে সে কি আমার বিরুদ্ধে মামলা করতে পারবে? ২) আমি কি দ্বিতীয় বিয়ে করতে পারব? ৩) এই ঝামেলা থেকে আইনগতভাবে মুক্তি পাওয়ার উপায় কী?",yes,,
prot_0016_01,Iftiaq,32,"প্রথমে আমার বড় মামা মারা যান। তারপর আমার মা, এরপর খালা মারা যান। খালার স্বামী বড় মামার আগে মারা গেছেন। খালা নিঃসন্তান। আমার প্রশ্ন, খালার সম্পূর্ণ সম্পত্তি কি শুধু ছোট মামা পাবেন?","সবার আগে আমার বড় মামা মারা গিয়েছিলেন, তার কিছুদিন পর আমার মা এবং সর্বশেষে খালা মারা যান। খালার স্বামী বড় মামার আগেই মারা গিয়েছিলেন এবং খালার কোনো ছেলেমেয়ে ছিল না। এখন খালার পুরো সম্পত্তি কি একা ছোট মামাই ভোগ করবেন, নাকি অন্যরা অংশ পাবেন?",no,,
prot_0025_04,Iftiaq,9,"সন্তান কার সঙ্গে থাকবে, এ বিষয়ে আইনের বিধান কী?","দাম্পত্য বিচ্ছেদের পর নাবালক সন্তান মা নাকি বাবার হেফাজতে থাকবে, এ নিয়ে আইনে কী বলা আছে?",no,,
prot_0031_01,Iftiaq,40,"এরপর মেয়েটি আর সেই স্বামীর সংসারে যান না। আলাদা থেকে পড়াশোনা চালিয়ে যেতে থাকেন। একসময় তাঁর স্বামী পুলিশের কাছে ধরা পড়েন। এখন তাঁর বিচার চলছে। এ অবস্থায় এই স্ত্রী যদি স্বামীকে তালাক দিতে চান, সে ক্ষেত্রে কীভাবে এগোনো যেতে পারে?","পরবর্তীতে মেয়েটি আর স্বামীর সংসারে ফিরে যায়নি, বরং আলাদা থেকে নিজের পড়াশোনা চালিয়ে যায়। কিছুদিন পর স্বামী পুলিশের হাতে গ্রেপ্তার হয় এবং বর্তমানে তার বিচারিক কার্যক্রম চলছে। এমতাবস্থায় স্ত্রী যদি স্বামীকে ডিভোর্স দিতে চান, তবে আইনগতভাবে তিনি কীভাবে তা কার্যকর করবেন?",no,,
prot_0035_02,Iftiaq,91,"আমার বাবার দুই স্ত্রী। প্রথম পরিবারে তিন ছেলে। দ্বিতীয় পরিবারে তিন ছেলে, এক মেয়ে। আমি দ্বিতীয় পরিবারের ছেলে। আমার বাবা প্রথম পরিবার নিয়ে থাকেন। তিনি সেই পরিবারের সন্তানদের লেখাপড়া করিয়ে ভালো চাকরি দিয়েছেন। আমাদের কোনো টাকাপয়সা দেন না। অনেকবার সালিস হওয়ার পরও তিনি বলেন, ‘আমি কোনো টাকাপয়সা দিতে পারব না। আমার বিরুদ্ধে মামলা করলেও কোনো লাভ নেই। আমার টাকা আমি না দিলে কেউ কিছু করতে পারবে না।’ আমার বাবা সরকারি চাকরি করেন। মা আমাদের নিয়ে বাবার অফিসে গিয়ে অভিযোগ জানালে কি আমরা তাঁর ফান্ড থেকে কোনো টাকা পাব? নাম প্রকাশে অনিচ্ছুক","আমার বাবার দুটি বিয়ে। প্রথম সংসারে তিন ছেলে এবং দ্বিতীয় সংসারে আমরা তিন ভাই ও এক বোন। আমি দ্বিতীয় পক্ষের ছেলে। বাবা প্রথম পরিবারকে নিয়েই থাকেন এবং তাদের সন্তানদের ভালোভাবে পড়াশোনা শিখিয়ে প্রতিষ্ঠিত করেছেন, কিন্তু আমাদের কোনো খরচপাতি দেন না। পারিবারিকভাবে একাধিকবার সালিস বৈঠক হলেও বাবা সাফ জানিয়ে দিয়েছেন যে তিনি কোনো টাকা দেবেন না, এমনকি মামলা করলেও নাকি কিছু হবে না কারণ নিজের টাকা তিনি কাউকে দিতে বাধ্য নন। বাবা একটি সরকারি প্রতিষ্ঠানে চাকরি করেন। আম্মা যদি আমাদের নিয়ে বাবার কর্মস্থলে গিয়ে নালিশ করেন, তাহলে কি বাবার প্রভিডেন্ট ফান্ড বা বেতন থেকে আমাদের কোনো টাকা পাওয়ার ব্যবস্থা হবে?",no,,
prot_0037_05,Iftiaq,51,হিন্দুধর্মাবলম্বী একজনের সঙ্গে আমার প্রায় পাঁচ বছরের সম্পর্ক। আমরা দুজনই প্রাপ্তবয়স্ক এবং ধর্ম পরিবর্তন না করে বিয়ে করতে চাই। কিন্তু পরে উভয়ের প্রভাবশালী পরিবার আমাদের জীবনের জন্য বড় হুমকি হয়ে দাঁড়াবে। দুই পক্ষের মধ্যে ভয়ানক বিরোধের আশঙ্কাও রয়েছে। এই সমস্যাগুলো এড়িয়ে যাওয়ার জন্য আমরা আগে থেকে কীভাবে আইনি ব্যবস্থা নিতে পারি?,অন্য ধর্মের (হিন্দু) একজনের সাথে প্রায় পাঁচ বছর ধরে আমার সম্পর্ক চলছে। আমরা দুজনই প্রাপ্তবয়স্ক এবং নিজ নিজ ধর্ম বজায় রেখেই বিয়ে করতে আগ্রহী। তবে আমাদের দুজনের পরিবারই অত্যন্ত প্রভাবশালী হওয়ায় পরবর্তীতে আমাদের জীবনের ওপর ঝুঁকি আসতে পারে এবং দুই পরিবারের মধ্যে মারাত্মক বিবাদ সৃষ্টি হতে পারে। এই ধরনের ঝামেলা ও হুমকি এড়াতে বিয়ের আগে থেকেই আমরা কী ধরণের আইনি সুরক্ষামূলক পদক্ষেপ গ্রহণ করতে পারি?,no,,
prot_0039_04,Iftiaq,155,"আমার বিয়ে হয় ২০০৮ সালে। এর এক বছর পর আমার একটি ছেলে হয়। বিয়েতে দেনমোহর যা ছিল তার মধ্যে কিছু টাকা বিয়ের সময় পরিশোধ করা হয়। এটি কাবিনে উল্লেখ আছে। এখন আমি স্ত্রীকে তালাক দিলে আমাকে বাকি আর কত টাকা দিতে হবে এবং আমার স্ত্রী আমার বিরুদ্ধে কোনো আইনি ব্যবস্থা নিতে পারবে কি না? আমার বাচ্চাটি কার কাছে থাকবে? সুজন , দিনাজপুর। @ তালাকের পর আপনার স্ত্রী আপনার বিরুদ্ধে ইদ্দত চলাকালে অর্থাৎ তিন মাসের ভরণপোষণ ও দেনমোহরের জন্য আবেদন করতে পারেন। এ ছাড়া আপনার সন্তান সাত বছর বয়স পর্যন্ত মায়ের কাছে থাকবে এবং এ সময়ে তাঁর ভরণপোষণের ব্যয় আপনাকে বহন করতে হবে। জীবনে চলতে-ফিরতে যেসব আইনি জটিলতায় পড়তে হয়, বিভাগে তারই সমাধান পাওয়া যাবে।এ বিভাগে আইনি সমস্যার সমাধান দেবেন বাংলাদেশ সুপ্রিম কোর্টের আইনজীবী নাহিদ মাহতাব। স্পষ্ট করে নিজের সমস্যা লিখে পাঠান। প্রয়োজনীয় কাগজের অনুলিপি দিন। : , , , , ১০০ কাজী নজরুলইসলাম অ্যাভিনিউ, , ঢাকা। এ ছাড়া এই ঠিকানায় করেও সমস্যার কথা জানাতে পারেন","২০০৮ সালে আমার বিয়ে হয়েছিল এবং তার পরের বছর আমাদের একটি ছেলেসন্তান জন্ম নেয়। কাবিননামায় উল্লিখিত দেনমোহরের একটি অংশ বিয়ের সময়ই উসুল দেওয়া হয়েছিল, যা কাবিনে লেখাও আছে। এখন যদি আমি স্ত্রীকে ডিভোর্স দিই, তবে দেনমোহরের আর কত টাকা আমাকে শোধ করতে হবে? ডিভোর্সের পর স্ত্রী কি আমার বিরুদ্ধে কোনো মামলা বা আইনি ব্যবস্থা নিতে পারবে? আর আমাদের ছোট ছেলেটি কার হেফাজতে থাকবে?",yes,মূল প্রশ্নে সংবাদপত্রের আইনি পরামর্শ ও ঠিকানার অংশ যুক্ত ছিল; শুধুমাত্র নাগরিকের মূল প্রশ্নটি রেখে প্যারাফ্রেজ করা হয়েছে এবং ব্যক্তিগত তথ্য অপসারণ করা হয়েছে।,
