qid,question,positive_chunk_id,provision_id,act_id,domain,lang_tag,provision_title_bn,provision_no_ascii,provision_text_preview,label_source,curation_status,review_status,reviewer,review_notes,selection_round,content_overlap,jaccard
silver_syn_85b304bdf6e7,আদালতের কার্যধারায় নিজমি বা বাড়ি জামানত রাখাের হাজির হইবার অধিকার বিষয়ে নিয়ম কী?,consumer_1010_s103,consumer_1010_s103,consumer_1010,consumer,bengali,আদালতের কার্যধারায় নিবন্ধকের হাজির হইবার অধিকার,103,"(১) নিবন্ধন বহি পরিবর্তন বা সংশোধনসহ প্রতিকারের দাবি বা ট্রেডমার্ক নিবন্ধন সম্পর্কিত মামলায় নিবন্ধকের আদালতে হাজির হইবার এবং শুনানীর অধিকার থাকিবে।(২) ট্রেডমার্ক নিবন্ধন সম্পর্কিত আবেদনের বিষয়ে নিবন্ধক কর্তৃক প্রদত্ত আদেশের বিরুদ্ধে হাইকোর্ট বিভাগে আপীল করা হইলে, নিম্নবর্ণিত ক্ষেত্রে নিবন্ধকের উপস্থিত থাকিবার এবং শুনানীর অধিকার থাকিবে-(ক) যেক্ষেত্রে আপীলের বিরোধিতা করা হয় নাই এবং যাহা সংশোধন, পরিমার্জন, শর্ত অথবা সীমাবদ্ধতা সাপেক্ষে, নিবন্ধক কর্তৃক প্রত্যাখ্যাত বা গৃহীত হইয়াছে; এবং(খ) যেক্ষেত্রে আপীলের বিরোধিতা করা হইয়াছে এবং জনস্বার্থে তাহার উপস্থিতি প্রয়োজন রহিয়াছে বলিয়া তিনি মনে করেন।(৩) হা",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.5,0.0654
silver_syn_b267868d88ea,হাইকোর্ট বিভাগের কার্যধারায় নিজমি বা বাড়ি জামানত রাখাের খরচ নিয়ে আইনে কী বলা আছে?,consumer_1010_s104,consumer_1010_s104,consumer_1010,consumer,bengali,হাইকোর্ট বিভাগের কার্যধারায় নিবন্ধকের খরচ,104,"এই আইনের অধীন হাইকোর্ট বিভাগের কার্যধারা পরিচালনায় নিবন্ধক কর্তৃক ব্যয়িত খরচ হাইকোর্ট বিভাগ নির্ধারণ করিতে পারিবে, তবে মামলার কোন পক্ষের খরচ পরিশোধের জন্য নিবন্ধককে কোন আদেশ দেওয়া যাইবে না।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.4,0.1026
silver_syn_84accbd59ccb,"কনভেনশন দরখাস্তের ক্ষেত্রে বিশেষ বিধান সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",consumer_1010_s120,consumer_1010_s120,consumer_1010,consumer,bengali,কনভেনশন আবেদনের ক্ষেত্রে বিশেষ বিধান,120,"(১) যদি প্যারিস কনভেনশন অথবা বিশ্ববাণিজ্য সংস্থাভুক্ত কোন রাষ্ট্রে ট্রেডমার্ক নিবন্ধনের জন্য আবেদনকারী কোন ব্যক্তি বা তাহার আইনানুগ প্রতিনিধি, উক্ত আবেদনের ৬ (ছয়) মাসের মধ্যে, উহার পূর্ণবিবরণ এবং অগ্রাধিকার আবেদনের সত্যায়িত কপিসহ, বাংলাদেশে উক্ত ট্রেডমার্ক নিবন্ধনের জন্য আবেদন করেন এবং উক্ত ট্রেডমার্ক এই14[আইনের] অধীন নিবন্ধন করা হয়, তাহা হইলে যে তারিখে কনভেনশনভুক্ত রাষ্ট্রে তিনি ট্রেডমার্ক নিবন্ধনের আবেদন করিয়াছিলেন, সে তারিখ হইতে উক্ত নিবন্ধন কার্যকর হইয়াছে বলিয়া গণ্য হইবে।(২) যদি দুই বা ততোধিক কনভেনশনভুক্ত রাষ্ট্রে ট্রেডমার্ক নিবন্ধনের আবেদন করা হয়, তাহা হইলে উপ-ধারা (১) এ উল্লিখিত ৬ (ছয়) ম",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.4444,0.0426
silver_syn_29380d9cae14,কার কাছে থাকবে সংক্রান্ত বিশেষ বিধান নিয়ে আইনে কী বলা আছে?,consumer_1010_s128,consumer_1010_s128,consumer_1010,consumer,bengali,হেফাজত সংক্রান্ত বিশেষ বিধান,128,"(১) ট্রেডমার্ক অধ্যাধেশ, ২০০৮ (২০০৮ সনের ২নং অধ্যাদেশ) এবং ট্রেডমার্ক অধ্যাদেশ, ২০০৯ (২০০৯ সনের ৫নং অধ্যাদেশ), অতঃপর উক্ত অধ্যাদেশদ্বয় বলিয়া উল্লিখিত, এর অধীন কৃত কাজকর্ম বা গৃহীত ব্যবস্থা এই আইনের অধীন কৃত বা গৃহীত হইয়াছে বলিয়া গণ্য হইবে।(২) গণপ্রজাতন্ত্রী বাংলাদেশ সংবিধানের অনুচ্ছেদ ৯৩ এর দফা (২) এর বিধান অনুসারে উক্ত অধ্যাদেশদ্বয়ের কার্যকারিতা লোপ পাওয়া সত্ত্বেও অনুরুপ লোপ পাইবার পর উহার ধারাবাহিকতায় বা বিবেচিত ধারাবচাহিকতায় কোন কাজকর্ম কৃত বা ব্যবস্থা গৃহীত হইয়া থাকিলে উহা এই আইনের অধীনেই কৃত গৃহীত হইয়াছে বলিয়াও গণ্য হইবে।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.375,0.0455
silver_syn_42ec9c71a088,সহযোগী ট্রেডমার্ক হিসাবে নাম লেখানো নিয়ে আইনে কী বলা আছে?,consumer_1010_s13,consumer_1010_s13,consumer_1010,consumer,bengali,সহযোগী ট্রেডমার্ক হিসাবে নিবন্ধন,13,"(১) যেক্ষেত্রে কোন নিবন্ধিত বা নিবন্ধনের জন্য আবেদনকৃত পণ্য বা সেবার ট্রেডমার্ক একই স্বত্বাধিকারীর অন্য কোন নিবন্ধিত বা নিবন্ধনের জন্য আবেদনকৃত পণ্য বা সেবার ট্রেডমার্কের অনুরূপ হয় অথবা একই পণ্য বা সেবা বা, ক্ষেত্রমত, প্রায় সাদৃশ্যপূর্ণ পণ্য বা সেবা হইবার কারণে যদি স্বত্বাধিকারী ব্যতীত অন্য কোন ব্যক্তি উক্ত ট্রেডমার্ক ব্যবহার করিলে প্রতারণা বা বিভ্রন্তি সৃষ্টি হইতে পারে, সেক্ষেত্রে নিবন্ধক যে কোন সময় উক্ত ট্রেডমার্ককে সহযোগী ট্রেডমার্ক হিসাবে নিবন্ধন বহিতে লিপিবদ্ধ করিবার নির্দেশ দিতে পারিবেন।(২) কোন ট্রেডমার্ক বা উহার কোন অংশ পৃথক ট্রেডমার্ক হিসাবে একই স্বত্বাধিকারীর নামে নিবন্ধিত হইলে, উহা স",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.4286,0.0278
silver_syn_8d87055b66a6,"কাগজ করাের দরখাস্ত সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",consumer_1010_s15,consumer_1010_s15,consumer_1010,consumer,bengali,নিবন্ধনের আবেদন,15,"(১) কোন ব্যক্তি তৎকর্তৃক ব্যবহৃত বা ব্যবহারের জন্য প্রস্তাবিত ট্রেডমার্কের স্বত্বাধিকারী হইয়া উহা নিবন্ধন করিতে ইচ্ছুক হইলে, তিনি, নির্ধারিত পদ্ধতিতে, উক্ত ট্রেডমার্ক নিবন্ধনের জন্য লিখিতভাবে নিবন্ধকের নিকট আবেদন করিবেন।(২) নির্ধারিত প্রত্যেক শ্রেণীর পণ্য বা সেবার জন্য পৃথক পৃথক আবেদন করিতে হইবে এবং উক্তরূপে প্রাপ্ত আবেদনপত্র প্রাপ্তির ক্রমানুসারে বিবেচিত হইবে।(৩) উপ-ধারা (১) এর অধীন প্রত্যেকটি আবেদন বাংলাদেশের যে এলাকায় আবেদনকারীর ব্যবসায়িক প্রতিষ্ঠানের প্রধান কার্যালয় অবস্থিত, সে এলাকায় অবস্থিত ট্রেডমার্কস রেজিস্ট্রিতে অথবা যৌথ আবেদনকারীর ক্ষেত্রে, আবেদনপত্রে উল্লিখিত প্রথম আবেদনকারীর ব্যবস",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.0,0.0
silver_syn_a20c43bf9b31,গৃহীত দরখাস্ত প্রত্যাখান নিয়ে আইনে কী বলা আছে?,consumer_1010_s16,consumer_1010_s16,consumer_1010,consumer,bengali,গৃহীত আবেদন প্রত্যাখান,16,"কোন ট্রেডমার্ক নিবন্ধনের আবেদন গ্রহণের পর নিবন্ধক যদি এই মর্মে নিশ্চিত হন যে,-(ক) আবেদনটি ভুলবশতঃ গৃহীত হইয়াছে, বা(খ) সংশ্লিষ্ট পরিস্থিতি বিবেচনায় ট্রেডমার্ক নিবন্ধন সঠিক হইবে না বা যে শর্ত বা সীমাবদ্ধতা সাপেক্ষে আবেদনটি গ্রহণ করা হইয়াছে, উহার অতিরিক্ত অথবা ভিন্নতর শর্ত বা সীমাবদ্ধতা সাপেক্ষে, আবেদনটি গ্রহণ করা যাইতে পারে,তাহা হইলে নিবন্ধক, আবেদনকারীকে যুক্তিসংগত শুনানীর সুযোগ প্রদান করিয়া, উক্ত আবেদনটি এইরূপে প্রত্যাখান করিতে পারিবেন যেন আবেদনটি গৃহীত হয় নাই।",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.4,0.0328
silver_syn_3ad4f3b30806,কাগজ করাের বিরোধিতা নিয়ে আইনে কী বলা আছে?,consumer_1010_s18,consumer_1010_s18,consumer_1010,consumer,bengali,নিবন্ধনের বিরোধিতা,18,"(১) নিবন্ধনের কোন আবেদনের বিজ্ঞপ্তি জারী হইবার তারিখ হইতে ২ (দুই) মাসের মধ্যে নির্ধারিত ফি প্রদানপূর্বক কোন ব্যক্তি নিবন্ধকের নিকট উক্তরূপ বিজ্ঞাপিত আবেদনের বিরোধিতা করিয়া, নির্ধারিত পদ্ধতিতে, লিখিত নোটিশ প্রদান করিতে পারিবেন।(২) নিবন্ধক উপ-ধারা (১) এর অধীন নোটিশ প্রাপ্তির ১ (এক) মাসের মধ্যে উহার একটি কপি আবেদনকারীর নিকট, নির্ধারিত পদ্ধতিতে, জারী করিবেন এবং অনুরূপ নোটিশ প্রাপ্তির ২ (দুই) মাসের মধ্যে আবেদনকারী, নির্ধারিত পদ্ধতিতে, তাহার আবেদনের ভিত্তি উল্লেখ করিয়া একটি পাল্টা বিবৃতি নিবন্ধকের নিকট প্রেরণ করিবেন, অন্যথায় আবেদনকারী তাহার আবেদন পরিত্যাগ করিয়াছেন বলিয়া গণ্য হইবে।(৩) আবেদনকারী পাল্ট",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.2,0.0062
silver_syn_5ce3c3bc5319,নাম লেখানো বিষয়ে নিয়ম কী?,consumer_1010_s20,consumer_1010_s20,consumer_1010,consumer,bengali,নিবন্ধন,20,"(১) ধারা ১৫ এর বিধানাবলী সাপেক্ষে, যদি-(ক) নিবন্ধন বহিতে ট্রেডমার্ক নিবন্ধনের কোন আবেদন গৃহীত হয়,(খ) উক্ত আবেদনের বিরোধিতা করা না হয় বা বিরোধিতার নোটিশ প্রদানের সময় অতিক্রান্ত হইয়া যায়, এবং(গ) উক্ত আবেদনের বিরোধিতা করিবার ক্ষেত্রে, তদ্‌সংক্রান্ত সিদ্ধান্ত আবেদনকারীর অনুকূলে গ্রহণ করা হয়,তাহা হইলে নিবন্ধক উক্ত ট্রেডমার্ক আবেদনের তারিখ হইতে কার্যকরতা প্রদানক্রমে উহা নিবন্ধন বহিতে নিবন্ধন করিবেন এবং ধারা ১২০ এর বিধান সাপেক্ষে, উক্ত তারিখ নিবন্ধনের তারিখ বলিয়া গণ্য হইবে।(২) কোন ট্রেডমার্ক নিবন্ধিত হইলে, নিবন্ধক আবেদনকারীকে নির্ধারিত ফরমে ট্রেডমার্কস রেজিস্ট্রির সীলমোহর সম্বলিত একটি নিবন্ধন সনদ প্র",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.0,0.0
silver_syn_3607df5bdd82,"নাম লেখানোের মেয়াদ, নবায়ন ও পুনর্বহাল সংক্রান্ত একটা সমস্যায় পড়েছি, কোথায় যাব?",consumer_1010_s22,consumer_1010_s22,consumer_1010,consumer,bengali,"নিবন্ধনের মেয়াদ, নবায়ন ও পুনর্বহাল",22,"(১) কোন ট্রেডমার্ক নিবন্ধনের মেয়াদ হইবে ৭ (সাত) বৎসর, তবে উক্ত মেয়াদ এই ধারার বিধান অনুসারে নবায়নযোগ্য হইবে।(২) নিবন্ধিত ট্রেডমার্কের নিবন্ধিত স্বত্বাধিকারী নির্ধারিত পদ্ধতি ও মেয়াদের মধ্যে আবেদন দাখিল করিলে, নিবন্ধক উক্ত ট্রেডমার্ক নিবন্ধনের মেয়াদ অথবা, ক্ষেত্রমত, সর্বশেষ নবায়নের মেয়াদ শেষ হইবার তারিখ হইতে ১০ (দশ) বৎসরের জন্য নবায়ন করিতে পারিবেন।(৩) নিবন্ধনের মেয়াদ উত্তীর্ণ হইবার পূর্বে, নির্ধারিত সময়ের মধ্যে, নিবন্ধক ট্রেডমার্কের নিবন্ধিত স্বত্বাধিকারীর বরাবরে মেয়াদ শেষ হইবার তারিখ, ফি প্রদানের শর্তাবলী ও নিবন্ধন নবায়ন লাভের শর্তাবলী উল্লেখ করিয়া নোটিশ পাঠাইবেন এবং এতদুদ্দেশ্যে নির্ধারিত সময়",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.3333,0.0357
silver_syn_fb24d9e1f147,কাগজ করাের ফলে অর্জিত অধিকার বিষয়ে কোন আইন প্রযোজ্য হবে?,consumer_1010_s25,consumer_1010_s25,consumer_1010,consumer,bengali,নিবন্ধনের ফলে অর্জিত অধিকার,25,"(১) কোন ব্যক্তি কোন পণ্য বা সেবার জন্য ট্রেডমার্কের স্বত্বাধিকারী হিসাবে নিবন্ধিত হইলে, তিনি, এই আইনের অন্যান্য বিধান সাপেক্ষে, উক্ত পণ্য বা সেবার জন্য উক্ত ট্রেডমার্ক নিরঙ্কুশ ব্যবহার এবং উহার স্বত্ব লঙ্ঘনের ক্ষেত্রে এই আইনে বর্ণিত পদ্ধতিতে প্রতিকার লাভের অধিকারী হইবেন।(২) কোন পণ্য বা ক্ষেত্রমত, সেবা সম্পর্কিত ট্রেডমার্কের নিবন্ধিত স্বত্বাধিকারী ছাড়া অন্য কোন ব্যক্তি, নিবন্ধিত স্বত্বাধিকারীর অনুমতি গ্রহণ ব্যতীত, উক্ত ট্রেডমার্ক ব্যবহার করিতে পারিবেন না।(৩) উপ-ধারা (১) এর অধীন প্রদত্ত ট্রেডমার্ক ব্যবহারের নিরঙ্কুশ অধিকার, নিবন্ধন বহিতে লিপিবদ্ধ শর্ত বা সীমাবদ্ধতা সাপেক্ষ হইবে।(৪) দুই বা ততোধিক",provision_title,silver_auto_curated,approved,Dhara annotation team,Approved by team confirmation recorded 2026-09-16.,1,0.4286,0.0385
